タイムスタンプ,授業名の頭文字で選択してください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業名を選択してください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,担当教員を教えてください,授業の全体感について教えてください [単位取得のしやすさ],授業の全体感について教えてください [高評価の取得のしやすさ],授業の全体感について教えてください [授業の面白さ],出欠は取りますか？,課題(リアぺ含む)・小テストはありましたか？(あったものを選択してください),課題(リアぺ含む)や小テストがある場合、その難易度や負担はどの程度でしたか？,試験の有無について教えてください,試験や期末レポートがあった場合、その難易度や負担はどの程度でしたか？,この授業の口コミやアドバイスを教えてください(自由記述)
2021/9/3 20:40,か行,,,,,,,経済学Ⅰ,,,,,,,,,,,,吉岡 忠昭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),1(しにくい、面白くない),あり,小テスト,楽,ペーパーテスト,楽,あまり面白くないが成績はとりやすいです
2021/9/3 20:40,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社会学Ⅰ,,,,,,,,,,,,,,,,,土居 洋平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,5(しやすい、面白い),なし,課題(問題演習や小レポート、プレゼンテーションなど),楽,期末レポート,普通,楽単として有名。ちゃんと頑張れば高評価が来ると思われるが、中途半端に頑張るとそこまで成績は伸びない。
2021/9/3 20:41,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,政治学Ⅰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,松浦 淳介,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1(しにくい、面白くない),1(しにくい、面白くない),4,なし,課題(問題演習や小レポート、プレゼンテーションなど),きつい,期末レポート,きつい,先生はイケおじ。ただ、評価が厳しい。最初のガイダンスで昨年は5割落単させたと言っていたから、しっかり授業きいて理解しないとダメだと思う。
2021/9/3 20:41,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,倫理学Ⅰ,,,,,,,,,,,,,,,長門 裕介,,,,5(しやすい、面白い),1(しにくい、面白くない),5(しやすい、面白い),なし,特になし,,期末レポート,きつい,内容自体は面白いが自分の考えを論理建てて言語化するのに慣れていないと地獄。真面目にレポ書けば単位はくる、ただ50%以上の人数がBなのでSA目指す人は取らない方がいい。
2021/9/3 20:41,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,世界の政治,,,,,,,,,,,,,,,,,,,,,,,,,,,沼尾 恵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,3,あり,特になし,,期末レポート,普通,ディスカッションすることが苦でなければ楽単です。
2021/9/3 20:41,か行,,,,,,,現代ビジネス論Ⅰ,,,,,,,,,,,,,,,,,中山 浩一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,4,なし,課題(問題演習や小レポート、プレゼンテーションなど),普通,期末レポート,普通,起業家の例や上場までの道のりをわかりやすく学ぶことができた。経済学部の数少ないビジネスの授業のなかでもかなりたまになるものだった。教授はネイティブではないため、日本語で気軽に相談ができた。
2021/9/3 20:41,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,人類学Ⅰ,,,,,,,,,,,,,,,,,,,,,,,,,,中山 一大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,小テスト,普通,期末レポート,楽,内容は面白く、学期間に3回ある小テストと行い、1200字以上レポートと言った軽い期末レポートを出せば単位は確実に来る。
2021/9/3 20:42,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生命の科学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岡村 智教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),4,4,なし,特になし,楽,期末レポート,楽,Sが来るかは微妙だが、Aは絶対くる。オムニバス形式なので飽きなかった。
2021/9/3 20:42,さ行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,障害者雇用の現状と将来,,,,,,,,,,,,,,,,,,,,,中島 隆信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5(しやすい、面白い),5(しやすい、面白い),5(しやすい、面白い),なし,課題(問題演習や小レポート、プレゼンテーションなど),普通,なし,,毎回色々な企業の障害者雇用の制度を聞く授業。興味がある人にとっては面白い。質問すると加点される。興味ない人にとっては少し苦痛かもしれない。
2021/9/3 20:43,な行以降(な、は、ま、や、ら、わ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,論理学Ⅰ,,,,,,,,,,,,,,,,,,佐々木 昭則,5(しやすい、面白い),5(しやすい、面白い),3,なし,"課題(問題演習や小レポート、プレゼンテーションなど), 小テスト",普通,ペーパーテスト,楽,課題は調べればやり方などが出てくるので満点を取れる。期末は対面でペーパーテストだったが、配布されたレジュメを見ておけば簡単だった。ある程度勉強しないと低評価になるかもしれない
